_id,input,sentiment,query,entity
61639e0556b1732325f73530,"Tonight, @FLOTUS and I tested positive for COVID-19. We will begin our quarantine and recovery process immediately. We will get through this TOGETHER!",0.5983,@FLOTUS,ORG
61639e0556b1732325f73531,TODAY WE MAKE AMERICA GREAT AGAIN!,0.6588,None,None
61639e0556b1732325f73532,Are you allowed to impeach a president for gross incompetence?,-0.7506,None,None
61639e0d56b1732325f73533,"A$AP Rocky released from prison and on his way home to the United States from Sweden. It was a Rocky Week, get home ASAP A$AP!",-0.2003,AP Rocky,ORG
61639e1756b1732325f73534,"Why would Kim Jong-un insult me by calling me ""old,"" when I would NEVER call him ""short and fat?"" Oh well, I try so hard to be his friend - and maybe someday that will happen!",0.1093,Kim Jong-un,PERSON
61639e1856b1732325f73535,"Be prepared, there is a small chance that our horrendous leadership could unknowingly lead us into World War III.",-0.7003,None,None
61639e2456b1732325f73536,The United States of America will be designating ANTIFA as a Terrorist Organization.,-0.4404,ANTIFA,ORG
61639e2a56b1732325f73537,"I WON THIS ELECTION, BY A LOT!",0.6114,LOT,ORG
61639e3456b1732325f73538,"“REPORT: DOMINION DELETED 2.7 MILLION TRUMP VOTES NATIONWIDE. DATA ANALYSIS FINDS 221,000 PENNSYLVANIA VOTES SWITCHED FROM PRESIDENT TRUMP TO BIDEN. 941,000 TRUMP VOTES DELETED. STATES USING DOMINION VOTING SYSTEMS SWITCHED 435,000 VOTES FROM TRUMP TO BIDEN.” @ChanelRion @OANN",0,TRUMP VOTES DELETED,ORG
61639e3456b1732325f73539,Just spoke to @KanyeWest about his friend A$AP Rocky’s incarceration. I will be calling the very talented Prime Minister of Sweden to see what we can do about helping A$AP Rocky. So many people would like to see this quickly resolved!,0.9097,None,None
61639e3456b1732325f7353a,Such a beautiful and important evening! The forgotten man and woman will never be forgotten again. We will all come together as never before,0.6964,None,None
61639e3456b1732325f7353b,WE WILL WIN!,0.6239,None,None
61639e3956b1732325f7353c,"71,000,000 Legal Votes. The most EVER for a sitting President!",0.2003,Legal Votes,ORG
61639e4456b1732325f7353d,"I am asking for everyone at the U.S. Capitol to remain peaceful. No violence! Remember, WE are the Party of Law & Order – respect the Law and our great men and women in Blue. Thank you!",0.9611,the Party of Law & Order,ORG
61639e5756b1732325f7353e,"North Korean Leader Kim Jong Un just stated that the “Nuclear Button is on his desk at all times.” Will someone from his depleted and food starved regime please inform him that I too have a Nuclear Button, but it is a much bigger &amp, more powerful one than his, and my Button works!",0.5833,North Korean,NORP
61639e5756b1732325f7353f,CHINA!,0,None,None
61639e5c56b1732325f73540,"All is well! Missiles launched from Iran at two military bases located in Iraq. Assessment of casualties &amp, damages taking place now. So far, so good! We have the most powerful and well equipped military anywhere in the world, by far! I will be making a statement tomorrow morning.",0.878,Missiles,PERSON
61639e5c56b1732325f73541,"Going welI, I think! Thank you to all. LOVE!!!",0.8625,None,None
61639e5c56b1732325f73542,The electoral college is a disaster for a democracy.,-0.6249,None,None
61639e5c56b1732325f73543,"IF YOU CAN PROTEST IN PERSON, YOU CAN VOTE IN PERSON!",-0.3164,None,None
61639e6256b1732325f73544,I will be making a statement tonight. A big WIN!,0.7027,WIN,ORG
61639e6f56b1732325f73545,"The United States just spent Two Trillion Dollars on Military Equipment. We are the biggest and by far the BEST in the World! If Iran attacks an American Base, or any American, we will be sending some of that brand new beautiful equipment their way...and without hesitation!",0.9028,American,NORP
61639e7d56b1732325f73546,"I will be leaving the great Walter Reed Medical Center today at 6:30 P.M. Feeling really good! Don’t be afraid of Covid. Don’t let it dominate your life. We have developed, under the Trump Administration, some really great drugs & knowledge. I feel better than I did 20 years ago!",0.9448,Walter Reed Medical Center,ORG
61639e7d56b1732325f73547,"THE OBSERVERS WERE NOT ALLOWED INTO THE COUNTING ROOMS. I WON THE ELECTION, GOT 71,000,000 LEGAL VOTES. BAD THINGS HAPPENED WHICH OUR OBSERVERS WERE NOT ALLOWED TO SEE. NEVER HAPPENED BEFORE. MILLIONS OF MAIL-IN BALLOTS WERE SENT TO PEOPLE WHO NEVER ASKED FOR THEM!",0.4069,None,None
61639e7d56b1732325f73548,It's almost like the United States has no President - we are a rudderless ship heading for a major disaster. Good luck everyone!,0.5973,None,None
61639e8356b1732325f73549,"Sorry losers and haters, but my I.Q. is one of the highest -and you all know it! Please don't feel so stupid or insecure,it's not your fault",-0.7144,I.Q.,ORG
61639e8a56b1732325f7354a,"“Breaking News: In Pennsylvania there were 205,000 more votes than there were voters. This alone flips the state to President Trump.”",-0.3071,Trump,PERSON
61639e8a56b1732325f7354b,Since when does the Lamestream Media call who our next president will be? We have all learned a lot in the last two weeks!,0,None,None
61639e8a56b1732325f7354c,STOP THE COUNT!,-0.3595,None,None
61639e8a56b1732325f7354d,Where are the missing military ballots in Georgia? What happened to them?,-0.3736,None,None
61639e9056b1732325f7354e,Joe Biden should not wrongfully claim the office of the President. I could make that claim also. Legal proceedings are just now beginning!,0.2003,Joe Biden,PERSON
61639e9056b1732325f7354f,"Happy New Year to all, including to my many enemies and those who have fought me and lost so badly they just don't know what to do. Love!",-0.4911,None,None
61639e9056b1732325f73550,I WON THE ELECTION!,0.6114,None,None
61639e9056b1732325f73551,"VOTER FRAUD IS NOT A CONSPIRACY THEORY, IT IS A FACT!!!",-0.4404,None,None
61639e9156b1732325f73552,He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!,-0.6059,None,None
61639e9156b1732325f73553,WE ARE LOOKING REALLY GOOD ALL OVER THE COUNTRY. THANK YOU!,0.7171,None,None
61639e9d56b1732325f73554,"The 75,000,000 great American Patriots who voted for me, AMERICA FIRST, and MAKE AMERICA GREAT AGAIN, will have a GIANT VOICE long into the future. They will not be disrespected or treated unfairly in any way, shape or form!!!",0.923,American Patriots,ORG
61639e9d56b1732325f73555,China has caused great damage to the United States and the rest of the World!,0.6114,None,None
61639ea356b1732325f73556,Please support our Capitol Police and Law Enforcement. They are truly on the side of our Country. Stay peaceful!,0.8858,Capitol Police and Law Enforcement,ORG
61639ea356b1732325f73557,WE ARE MAKING BIG PROGRESS. RESULTS START TO COME IN NEXT WEEK. MAKE AMERICA GREAT AGAIN!,0.8016,None,None
61639ea356b1732325f73558,I have never seen a thin person drinking Diet Coke.,0,None,None
61639ea356b1732325f73559,MERRY CHRISTMAS!,0.5848,None,None
61639ea356b1732325f7355a,WE HAVE JUST BEGUN TO FIGHT!!!,-0.5386,None,None
61639ea356b1732325f7355b,"The W.H.O. really blew it. For some reason, funded largely by the United States, yet very China centric. We will be giving that a good look. Fortunately I rejected their advice on keeping our borders open to China early on. Why did they give us such a faulty recommendation?",0.3612,None,None
61639eb056b1732325f7355c,"Extraordinary times require even closer cooperation between friends. Thank you India and the Indian people for the decision on HCQ. Will not be forgotten! Thank you Prime Minister @NarendraModi for your strong leadership in helping not just India, but humanity, in this fight!",0.2292,Indian,NORP
61639eb056b1732325f7355d,The world is at war with a hidden enemy. WE WILL WIN!,-0.4869,None,None
61639eb756b1732325f7355e,"They are finding Biden votes all over the place — in Pennsylvania, Wisconsin, and Michigan. So bad for our Country!",-0.6988,Biden,PERSON
61639eb756b1732325f7355f,MERRY CHRISTMAS!,0.5848,None,None
61639eb756b1732325f73560,"I had such a big lead in all of these states late into election night, only to see the leads miraculously disappear as the days went by. Perhaps these leads will return as our legal proceedings move forward!",-0.1759,None,None
61639ec656b1732325f73561,"“We believe these people are thieves. The big city machines are corrupt. This was a stolen election. Best pollster in Britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that Biden outran Obama in some of these states.",-0.3346,Biden,PERSON
61639ecf56b1732325f73562,The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large number of Ballots are impacted. Stay tuned!,0.2193,Ballots,ORG
61639edc56b1732325f73563,"Doctors, Nurses and ALL at the GREAT Walter Reed Medical Center, and others from likewise incredible institutions who have joined them, are AMAZING!!!Tremendous progress has been made over the last 6 months in fighting this PLAGUE. With their help, I am feeling well!",0.9118,GREAT Walter Reed Medical Center,ORG
61639eeb56b1732325f73564,"HYDROXYCHLOROQUINE & AZITHROMYCIN, taken together, have a real chance to be one of the biggest game changers in the history of medicine. The FDA has moved mountains - Thank You! Hopefully they will BOTH (H works better with A, International Journal of Antimicrobial Agents).....",0.8553,HYDROXYCHLOROQUINE & AZITHROMYCIN,ORG
61639eeb56b1732325f73565,"Just saw the vote tabulations. There is NO WAY Biden got 80,000,000 votes!!! This was a 100% RIGGED ELECTION.",-0.793,None,None
61639eec56b1732325f73566,OBAMAGATE!,0,None,None
61639ef656b1732325f73567,"If I am sent a Stand Alone Bill for Stimulus Checks ($1,200), they will go out to our great people IMMEDIATELY. I am ready to sign right now. Are you listening Nancy? @MarkMeadows @senatemajldr @kevinomccarthy @SpeakerPelosi @SenSchumer",0.6808,a Stand Alone Bill,PERSON
61639ef656b1732325f73568,I won the Election!,0.6114,None,None
61639efd56b1732325f73569,"It is my Great Honor to announce that General Michael T. Flynn has been granted a Full Pardon. Congratulations to @GenFlynn and his wonderful family, I know you will now have a truly fantastic Thanksgiving!",0.9776,Michael T. Flynn,PERSON
61639efd56b1732325f7356a,"STOCK MARKET UP BIG, VACCINE COMING SOON. REPORT 90% EFFECTIVE. SUCH GREAT NEWS!",0.8738,None,None
61639f1956b1732325f7356b,"To Iranian President Rouhani: NEVER, EVER THREATEN THE UNITED STATES AGAIN OR YOU WILL SUFFER CONSEQUENCES THE LIKES OF WHICH FEW THROUGHOUT HISTORY HAVE EVER SUFFERED BEFORE. WE ARE NO LONGER A COUNTRY THAT WILL STAND FOR YOUR DEMENTED WORDS OF VIOLENCE &amp, DEATH. BE CAUTIOUS!",-0.9348,Iranian,NORP
61639f1956b1732325f7356c,"Georgia will be a big presidential win, as it was the night of the Election!",0.6239,None,None
61639f1956b1732325f7356d,YOU DON’T BURN CHURCHES IN AMERICA!,0,None,None
61639f1e56b1732325f7356e,The Media is just as corrupt as the Election itself!,0,Media,ORG
61639f2b56b1732325f7356f,The media is spending more time doing a forensic analysis of Melania's speech than the FBI spent on Hillary's emails.,0,FBI,ORG
61639f2b56b1732325f73570,I just want to stop the world from killing itself!,-0.7644,None,None
61639f3456b1732325f73571,The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,0.3818,Chinese,NORP
61639f3956b1732325f73572,OUR GREAT USA WANTS & NEEDS STIMULUS. WORK TOGETHER AND GET IT DONE. Thank you!,0.8236,GREAT USA WANTS & NEEDS STIMULUS,ORG
61639f3956b1732325f73573,RIGGED ELECTION. WE WILL WIN!,0.3802,None,None
61639f3956b1732325f73574,"They just happened to find 50,000 ballots late last night. The USA is embarrassed by fools. Our Election Process is worse than that of third world countries!",-0.8439,None,None
61639f3d56b1732325f73575,THE DEMOCRATS DUMPED HUNDREDS OF THOUSANDS OF BALLOTS IN THE SWING STATES LATE IN THE EVENING. IT WAS A RIGGED ELECTION!!!,-0.7249,THE DEMOCRATS DUMPED HUNDREDS OF,ORG
61639f4856b1732325f73576,Ballot Corruption will be exposed tonight at 9:00pmE on @SeanHannity on @FoxNews!,-0.1511,Ballot Corruption,ORG
61639f5456b1732325f73577,"Our lawyers have asked for “meaningful access”, but what good does that do? The damage has already been done to the integrity of our system, and to the Presidential Election itself. This is what should be discussed!",0.501,the Presidential Election,ORG
61639f6656b1732325f73578,"Biden can only enter the White House as President if he can prove that his ridiculous “80,000,000 votes” were not fraudulently or illegally obtained. When you see what happened in Detroit, Atlanta, Philadelphia & Milwaukee, massive voter fraud, he’s got a big unsolvable problem!",-0.8516,Biden,PERSON
61639f6656b1732325f73579,OBAMAGATE!,0,None,None
61639f6656b1732325f7357a,Big news coming out of Pennsylvania. Very big illegal ballot drop that cannot be accounted for. Rigged Election!,-0.8303,None,None
61639f6656b1732325f7357b,"AGAIN, TO OUR VERY FOOLISH LEADER, DO NOT ATTACK SYRIA - IF YOU DO MANY VERY BAD THINGS WILL HAPPEN & FROM THAT FIGHT THE U.S. GETS NOTHING!",-0.8921,None,None
61639f6656b1732325f7357c,MOST CORRUPT ELECTION IN U.S. HISTORY!,0,None,None
61639f6656b1732325f7357d,"I really appreciate all of the fans and supporters outside of the hospital. The fact is, they really love our Country and are seeing how we are MAKING IT GREATER THAN EVER BEFORE!",0.9314,None,None
61639f7256b1732325f7357e,"I am a great friend and admirer of the Queen & the United Kingdom. It was reported that Harry and Meghan, who left the Kingdom, would reside permanently in Canada. Now they have left Canada for the U.S. however, the U.S. will not pay for their security protection. They must pay!",0.9381,Harry,PERSON
61639f7256b1732325f7357f,The Vice President has the power to reject fraudulently chosen electors.,-0.4019,None,None
61639f7256b1732325f73580,"Twitter is out of control, made possible through the government gift of Section 230!",0.4926,None,None
61639f7c56b1732325f73581,"Nobody wants to report that Pennsylvania and Michigan didn’t allow our Poll Watchers and/or Vote Observers to Watch or Observe. This is responsible for hundreds of thousands of votes that should not be allowed to count. Therefore, I easily win both states. Report the News!",0.8655,Poll Watchers,PERSON
61639f8a56b1732325f73582,Mike Pence WON BIG!,0.6932,Mike Pence,PERSON
61639f8a56b1732325f73583,"JANUARY SIXTH, SEE YOU IN DC!",0,None,None
61639f9056b1732325f73584,"Twitter is going wild with their flags, trying hard to suppress even the truth. Just shows how dangerous they are, purposely stifling free speech. Very dangerous for our Country. Does Congress know that this is how Communism starts? Cancel Culture at its worst. End Section 230!",-0.8264,Congress,ORG
61639f9056b1732325f73585,How come every time they count Mail-In ballot dumps they are so devastating in their percentage and power of destruction?,-0.9168,None,None
61639f9056b1732325f73586,MAKE AMERICA GREAT AGAIN!,0.6588,None,None
61639fa356b1732325f73587,"So last year 37,000 Americans died from the common Flu. It averages between 27,000 and 70,000 per year. Nothing is shut down, life & the economy go on. At this moment there are 546 confirmed cases of CoronaVirus, with 22 deaths. Think about that!",-0.7574,Americans,NORP
61639fb456b1732325f73588,"After seeing the massive Voter Fraud in the 2020 Presidential Election, I disagree with anyone that thinks a strong, fast, and fair Special Counsel is not needed, IMMEDIATELY. This was the most corrupt election in the history of our Country, and it must be closely examined!",0.2942,Presidential Election,ORG
61639fb456b1732325f73589,"It is my great honor to declare Sunday, March 15th as a National Day of Prayer. We are a Country that, throughout our history, has looked to God for protection and strength in times like these....",0.9337,None,None
61639fb956b1732325f7358a,GREATEST ELECTION FRAUD IN THE HISTORY OF OUR COUNTRY!!!,0.3129,GREATEST ELECTION FRAUD IN THE HISTORY,PERSON
61639fb956b1732325f7358b,Big legal win in Pennsylvania!,0.68,None,None
61639fc756b1732325f7358c,"Kobe Bryant, despite being one of the truly great basketball players of all time, was just getting started in life. He loved his family so much, and had such strong passion for the future. The loss of his beautiful daughter, Gianna, makes this moment even more devastating....",0.935,Kobe Bryant,PERSON
61639fcf56b1732325f7358d,We now have far more votes than needed to flip Georgia in the Presidential race. Massive VOTER FRAUD took place. Thank you to the Georgia Legislature for today’s revealing meeting!,-0.5147,the Georgia Legislature,ORG
61639fcf56b1732325f7358e,THOSE THAT DENY THEIR HISTORY ARE DOOMED TO REPEAT IT!,-0.784,None,None
61639fd056b1732325f7358f,"The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they have given us nothing but lies &amp, deceit, thinking of our leaders as fools. They give safe haven to the terrorists we hunt in Afghanistan, with little help. No more!",-0.8256,None,None
61639fd056b1732325f73590,"See you in Washington, DC, on January 6th. Don’t miss it. Information to follow!",-0.2244,None,None
61639fd656b1732325f73591,"Joe Biden just announced that he will not agree to a Drug Test. Gee, I wonder why?",-0.2755,Joe Biden,PERSON
61639ff356b1732325f73592,"Hunter Biden’s laptop is a disaster for the entire Biden family, but especially for his father, Joe. It is now a proven fact, and cannot be denied, that all of that info is the REAL DEAL. That makes it impossible for “50%, or 10%” Joe, to ever assume the office of the President!",0.2146,Hunter Biden,PERSON
61639ff356b1732325f73593,MAKE AMERICA GREAT AGAIN!,0.6588,None,None
61639ff356b1732325f73594,"I’m not fighting for me, I’m fighting for the 74,000,000 million people (not including the many Trump ballots that were “tossed”), a record for a sitting President, who voted for me!",-0.1734,None,None
61639ff356b1732325f73595,MAKE AMERICA GREAT AGAIN!,0.6588,None,None
61639ff356b1732325f73596,Give A$AP Rocky his FREEDOM. We do so much for Sweden but it doesn’t seem to work the other way around. Sweden should focus on its real crime problem! #FreeRocky,-0.7667,None,None
61639ff856b1732325f73597,"In light of the attack from the Invisible Enemy, as well as the need to protect the jobs of our GREAT American Citizens, I will be signing an Executive Order to temporarily suspend immigration into the United States!",0.5754,GREAT American Citizens,ORG
61639ff856b1732325f73598,"To all of those who have asked, I will not be going to the Inauguration on January 20th.",0,None,None
61639ff856b1732325f73599,FAKE NEWS IS THE ENEMY OF THE PEOPLE!,-0.784,None,None
6163a00b56b1732325f7359a,"The lockdowns in Democrat run states are absolutely ruining the lives of so many people - Far more than the damage that would be caused by the China Virus. Cases in California have risen despite the lockdown, yet Florida & others are open & doing well. Common sense please!",-0.3917,Democrat,NORP
6163a01756b1732325f7359b,"Washington is being inundated with people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they won’t take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!",0.8279,Democrats,NORP
6163a01756b1732325f7359c,Wow! Michigan just refused to certify the election results! Having courage is a beautiful thing. The USA stands proud!,0.9284,None,None
6163a01756b1732325f7359d,"700,000 ballots were not allowed to be viewed in Philadelphia and Pittsburgh which means, based on our great Constitution, we win the State of Pennsylvania!",0.8478,None,None
6163a01d56b1732325f7359e,THE SILENT MAJORITY IS STRONGER THAN EVER!!!,0.5386,STRONGER,ORG
6163a01d56b1732325f7359f,HAPPY NEW YEAR!,0.6114,None,None
6163a03056b1732325f735a0,Why did the W.H.O. Ignore an email from Taiwanese health officials in late December alerting them to the possibility that CoronaVirus could be transmitted between humans? Why did the W.H.O. make several claims about the CoronaVirus that ere either inaccurate or misleading....,-0.6369,Taiwanese,NORP
6163a03056b1732325f735a1,OBAMAGATE!,0,None,None
6163a03056b1732325f735a2,Pennsylvania prevented us from watching much of the Ballot count. Unthinkable and illegal in this country.,-0.5423,None,None
6163a03056b1732325f735a3,It’s ANTIFA and the Radical Left. Don’t lay the blame on others!,-0.4003,None,None
6163a03056b1732325f735a4,Tremendous evidence pouring in on voter fraud. There has never been anything like this in our Country!,-0.7353,None,None
6163a03656b1732325f735a5,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up & down!",0.3989,Dominion,ORG
6163a04156b1732325f735a6,"We are going to WIN the 2020 Election, BIG! #MAGA",0.7027,BIG,ORG
6163a05056b1732325f735a7,I have instructed the United States Navy to shoot down and destroy any and all Iranian gunboats if they harass our ships at sea.,-0.743,Navy,ORG
6163a05c56b1732325f735a8,"Don’t buy GOODYEAR TIRES - They announced a BAN ON MAGA HATS. Get better tires for far less! (This is what the Radical Left Democrats do. Two can play the same game, and we have to start playing it now!).",0.3294,GOODYEAR TIRES - They,ORG
6163a06156b1732325f735a9,THE FAKE NEWS MEDIA IS THE REAL OPPOSITION PARTY!,-0.1759,THE REAL OPPOSITION PARTY,ORG
6163a06156b1732325f735aa,"No Collusion, No Obstruction, Complete and Total EXONERATION. KEEP AMERICA GREAT!",0.7016,None,None
6163a06656b1732325f735ab,"“I don’t care what state you’re in, this computer voting system is wide open to fraud and intervention.” @LouDobbs True, and wait until you see what’s coming!",0.3595,@LouDobbs True,PERSON
6163a06756b1732325f735ac,"Breaking News: 50,000 OHIO VOTERS getting WRONG ABSENTEE BALLOTS. Out of control. A Rigged Election!!!",-0.8762,None,None
6163a06c56b1732325f735ad,"For purposes of National Security, Section 230 must be immediately terminated!!!",0.5067,National Security,ORG
6163a06c56b1732325f735ae,PRO LIFE! VOTE!,0,None,None
6163a06c56b1732325f735af,....Some of those they are harshly treating have been “milking” their country for years!,0,None,None
6163a07a56b1732325f735b0,"Time for Republican Senators to step up and fight for the Presidency, like the Democrats would do if they had actually won. The proof is irrefutable! Massive late night mail-in ballot drops in swing states, stuffing the ballot boxes (on video), double voters, dead voters,",-0.2481,Republican,NORP
6163a07a56b1732325f735b1,Big voter fraud information coming out concerning Georgia. Stay tuned!,-0.6239,None,None
6163a08056b1732325f735b2,".@GOP We were put in this position of power and importance to make decisions for the people who so proudly elected us, the most important of which has long been considered to be the selection of United States Supreme Court Justices. We have this obligation, without delay!",0.9506,United States Supreme Court,ORG
6163a08056b1732325f735b3,RIGGED ELECTION!,-0.4199,None,None
6163a08956b1732325f735b4,"Nevada is turning out to be a cesspool of Fake Votes. @mschlapp & @AdamLaxalt are finding things that, when released, will be absolutely shocking!",-0.7495,Fake Votes,ORG
6163a08956b1732325f735b5,BALLOT COUNTING ABUSE!,-0.6696,None,None
6163a09056b1732325f735b6,Looks like they are setting up a big “voter dump” against the Republican candidates. Waiting to see how many votes they need?,0.3612,Republican,NORP
6163a09756b1732325f735b7,Fidel Castro is dead!,-0.68,Fidel Castro,PERSON
6163a09756b1732325f735b8,IRAN WILL NEVER HAVE A NUCLEAR WEAPON!,-0.3595,None,None
